Time	S1_A	S1_B	S2_A	S2_B	S3_A	S3_B	S4_A	S4_B
9,19	202	135	266	229	174	102	275	105
9,21	202	135	266	229	174	102	275	105
9,22	202	135	266	229	174	102	275	105
9,24	202	135	266	228	174	102	275	105
9,25	202	134	266	228	174	102	275	105
9,26	203	134	266	228	174	102	275	105
9,28	203	134	266	228	174	102	275	105
9,29	203	134	266	228	174	102	275	106
9,31	203	134	266	228	174	102	275	106
9,32	203	134	266	228	174	102	275	106
9,34	203	134	266	228	174	102	275	106
9,35	203	134	266	228	174	102	275	106
9,37	203	134	266	228	174	102	275	106
9,38	202	134	266	228	174	102	275	106
9,40	202	134	266	228	174	102	275	106
9,41	202	134	266	228	174	102	275	105
9,43	202	134	266	228	174	102	275	105
9,44	202	134	266	228	174	102	275	105
9,46	202	134	266	228	174	102	275	105
9,47	202	134	266	228	174	102	275	105
9,49	202	134	266	227	174	102	275	105
9,50	202	133	266	227	174	102	275	105
9,51	203	133	266	227	174	102	275	105
9,53	203	133	266	227	174	102	275	105
9,54	203	133	266	227	174	102	275	105
9,56	203	133	266	227	174	102	275	105
9,57	203	133	266	227	174	102	275	105
9,59	203	133	266	227	174	102	275	105
9,60	203	133	266	226	174	102	275	105
9,62	203	133	266	226	174	102	275	105
9,63	203	133	266	226	174	102	275	105
9,65	203	133	266	226	174	102	275	105
9,66	203	133	266	226	174	102	275	105
9,68	203	133	266	226	174	102	275	105
9,69	203	133	266	226	175	102	275	105
9,71	203	133	266	226	175	102	275	105
9,72	203	133	266	225	175	102	275	105
9,74	203	133	266	225	175	102	275	105
9,75	203	134	266	225	175	102	275	105
9,76	202	134	266	225	175	102	275	105
9,78	202	134	266	225	175	102	275	105
9,79	202	134	266	225	175	102	275	105
9,81	202	134	266	225	175	102	275	105
9,82	202	134	266	225	175	102	275	105
9,84	202	134	266	225	175	102	275	105
9,85	202	134	266	225	175	102	275	105
9,87	202	135	266	225	175	102	275	105
9,88	203	135	266	225	175	102	275	105
9,90	203	135	266	225	175	102	275	105
9,91	203	135	266	225	174	102	275	105
9,93	203	135	266	225	174	102	275	105
9,94	203	135	266	225	174	102	275	105
9,96	203	135	266	226	174	102	276	105
9,97	203	135	266	226	174	102	276	105
9,99	203	135	266	226	174	102	276	105
10,00	203	136	266	226	174	102	276	105
